300;Edizioni Barzanti
301;Techne editore
302;Adnkronos Libri
303;Guerini e associati (Salvato)
304;Dario Flaccovio editore
305;Remedy
306;CDA&Vivalda Editori
307;Tararà
308;Mountain Promotion
309;GET
310;Biblioteca dell'Immagine
311;Cappelli
312;Casagrande
313;Giovane Montagna
314;Nuovi Sentieri
315;TCI-CAI
316;Leonardo international
317;Rocciaviva
318;Felici Editore
319;BE-MA editrice
320;Pilotto editore
321;Adriambiente
322;Silvana editoriale
323;Gruppo A.V.I.S Mineralogia e Speleologia
324;Cacciari
325;De Luca editori
326;Editrice Compositori
327;Maggioli editore
328;D.R.E.AM
329;Centro Piceno di iniziative per l'ambiente
330;Corbo e Fiore editore
331;Sagep
332;CAI Mirano
333;Studio Faro
334;NaturArte
335;Provincia Bologna
336;Studio cartografico Italiano - Genova
337;Il Fiorino
338;Turismo natura
339;Cadmo
340;Tropea
341;Edizioni Pontegobbo
342;Minerva edizioni
343;Giorgio Mondadori
344;Edizioni CieRre
345;Pacini
346;Scripta Manent
347;Ape
348;Sapignoli
349;Comunità montana Appennino Bolognese
350;Tecnograf
351;CAI Mo
352;Arci Postiglione
353;Modena-Aedes Muratoriana
354;Obiettivo neve
355;Segnavia
356;CAI Cavriago
357;Grafema
358;Zeta Beta
359;Euroalpi
360;Arti Grafiche S.Rocco
361;Azimut
362;L'Eubace
363;Aviani
364;Alpha Test
365;Crociera totale
366;Parole di cotone edizioni - Guiducci
367;Istituto Idrografico della Marina
368;Portoria Editrice
369;Editoriale Olimpia
370;Difilm-Istituto Luce
371;Effemme Edizioni
372;Nitida immagine editrice
373;Albert Gruber
374;Atlantis
375;Il mare libreria internazionale
376;Assouline
377;SD cinematografica
378;Nutrimenti
379;AR.CO
380;Edition Raetia
381;Dedalo
382;Metrolibri
383;Nistri Lischi
384;A & A
385;Le mani
386;Lights
387;Scubatour
388;Conte Editore
389;La Cuba
390;Fabbri editori
391;Società stampa sportiva
392;Pan
393;Victory project
394;Nuova Guaraldi Editrice
395;Freytag & Berndt
396;Cisalpino-Goliardica
397;Muzzio editore
398;Mariotti
399;Editoria Trento
400;El Pais
401;Calosci
402;Persico Editore
403;Edizioni il Lupo
404;Edizioni Aniballi
405;Edizioni EMMEVU
406;Edizioni Taiga
407;Messina editore
408;Artioli editore
409;Nueter
410;Bromurodargento
411;Monte sole Bike group
412;Editoriale Eurocamp
413;La Lumaca
414;Editrice il Prato
415;Magnanelli
416;Spring Edizioni
417;Arsenale editrice
418;Berlitz
419;Terra nostra espresso
420;Harrap
421;Larus
422;Edizioni Minerva Medica
423;Edicart
424;Bonechi
425;Editrice Monteverde
426;Editrice la Mandragora
427;Hitstudio editori
428;Tipoarte
429;Sigem
430;Clueb
431;Artiere edizionitalia
432;Testi nuova serie
433;L'Ippocampo
434;Agriturist ( Roli )
435;Five Continents  (Marinoni)
436;Guide delle Guide
437;Vallardi viaggi (De Gregorio )
438;Edizioni Green Volunteers
439;CEST
440;Natrix Edition
441;Ali&no editrice
442;Fortuna Augusta
443;L'Espresso
444;Convegni editrice
445;Dossier
446;Meridies
447;Slow Food editore
448;Ci.Vin
449;Raro
450;Edizioni Olivares
451;Garnet Publishing
452;Alinea Editrice
453;National Geographic
454;Ibis
455;Editrice Reflex
456;Fininternet
457;Morganti
458;Città del vino
459;Legenda  (Guiducci )
460;Cadogan
461;Magenes Editoriale
462;Bed end Breakfast
463;Euro camping
